2D Lotto 5PM#21-04#11/21/2024#4,000.00#135
2D Lotto 9PM#26-15#11/21/2024#4,000.00#135
Grand Lotto 6/55#14-01-25-32-10-27#11/20/2024#29,700,000.00#0
Megalotto 6/45#42-32-38-22-45-33#11/20/2024#14,593,781.40#0
4D Lotto#5-0-7-2#11/20/2024#87,936.00#10
3D Lotto 2PM#7-9-2#11/20/2024#4,500.00#135
3D Lotto 5PM#0-7-7#11/20/2024#4,500.00#50
3D Lotto 9PM#0-3-4#11/20/2024#4,500.00#311
2D Lotto 2PM#30-08#11/20/2024#4,000.00#82
2D Lotto 5PM#31-01#11/20/2024#4,000.00#89
2D Lotto 9PM#09-08#11/20/2024#4,000.00#566
Ultra Lotto 6/58#18-02-36-33-49-05#11/19/2024#135,367,602.00#0
Superlotto 6/49#23-45-24-07-26-12#11/19/2024#15,840,000.00#0
Lotto 6/42#21-06-07-02-09-12#11/19/2024#6,240,641.60#0
6D Lotto#3-9-7-4-8-9#11/19/2024#2,619,771.68#0
3D Lotto 2PM#0-6-8#11/19/2024#4,500.00#189
3D Lotto 5PM#7-8-5#11/19/2024#4,500.00#163
3D Lotto 9PM#5-0-5#11/19/2024#4,500.00#405
2D Lotto 2PM#06-31#11/19/2024#4,000.00#81
2D Lotto 5PM#22-12#11/19/2024#4,000.00#53
2D Lotto 9PM#28-22#11/19/2024#4,000.00#439
Grand Lotto 6/55#07-46-30-49-24-12#11/18/2024#29,700,000.00#0
Megalotto 6/45#05-14-35-27-26-44#11/18/2024#10,823,819.80#0
4D Lotto#3-1-5-4#11/18/2024#29,102.00#31
3D Lotto 2PM#0-5-2#11/18/2024#4,500.00#135
3D Lotto 5PM#8-9-6#11/18/2024#4,500.00#57
3D Lotto 9PM#6-2-8#11/18/2024#4,500.00#592
2D Lotto 2PM#11-20#11/18/2024#4,000.00#985
2D Lotto 5PM#12-15#11/18/2024#4,000.00#330
2D Lotto 9PM#06-17#11/18/2024#4,000.00#477
Ultra Lotto 6/58#14-01-33-58-20-28#11/17/2024#128,756,395.20#0
Superlotto 6/49#02-32-14-23-46-40#11/17/2024#15,840,000.00#0
3D Lotto 2PM#7-0-1#11/17/2024#4,500.00#290
3D Lotto 5PM#3-3-5#11/17/2024#4,500.00#111
3D Lotto 9PM#9-4-3#11/17/2024#4,500.00#297
2D Lotto 2PM#18-31#11/17/2024#4,000.00#359
2D Lotto 5PM#12-28#11/17/2024#4,000.00#232
2D Lotto 9PM#22-05#11/17/2024#4,000.00#139
Grand Lotto 6/55#54-47-50-44-52-40#11/16/2024#29,700,000.00#0
Lotto 6/42#41-25-15-16-34-02#11/16/2024#5,940,000.00#0
6D Lotto#5-7-6-0-4-0#11/16/2024#1,959,987.52#0
3D Lotto 2PM#2-7-8#11/16/2024#4,500.00#262
3D Lotto 5PM#5-6-2#11/16/2024#4,500.00#142
3D Lotto 9PM#2-9-5#11/16/2024#4,500.00#577
2D Lotto 2PM#27-30#11/16/2024#4,000.00#225
2D Lotto 5PM#23-20#11/16/2024#4,000.00#55
2D Lotto 9PM#27-31#11/16/2024#4,000.00#178
Ultra Lotto 6/58#06-07-26-17-24-56#11/15/2024#122,677,993.20#0
Megalotto 6/45#04-45-14-23-05-34#11/15/2024#8,910,000.00#0
4D Lotto#8-4-2-4#11/15/2024#22,596.00#21
